id;id_pais;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989
1;1;204.63169642857102;208.837879279864;226.08188995981098;214.785216670488;207.626698697154;185.213644367732;172.158729333472;210.81901660808998;194.91753601589699;253.54457384138698;281.962315896394;243.86210087143797;234.851225584387;258.849923633707;233.492788342393;168.740161245116;360.853233420262;189.163403240235;161.806329240292;170.105949443073;174.69459374012;165.121266161391;182.270960695131;92.3631556105637;228.392242065387;266.48356181772004;2.86827360523585;7.234613021119701;10.0273283992664;10.6345583536775
2;2;0.906059556776489;0.922473917257107;0.9308158935098431;0.940569529250861;0.9960334469782179;1.04727974272713;1.03390831910365;1.05220405154032;1.07972665245205;1.10463160538549;1.12326124330665;1.21959304813598;1.20926277940778;1.2045225420123702;1.18604520925868;1.18113936724852;1.1902033660535;1.18221774296475;1.16915760255062;1.2169005485883402;1.23591089608268;1.3197637888761298;1.3673965508278603;1.3863669008452701;1.43196363666722;1.42314456862381;1.4207768995266599;1.39014163585078;1.4072053629449202;1.3571436122601002
3;3;0.0460567433447294;0.0535888584276888;0.0737208229490168;0.07416076368513701;0.0861736939561028;0.101284932843648;0.10739883870409801;0.12340941328869699;0.115142486686176;0.0865098884022908;0.149651313706331;0.165208248913986;0.12999551700408998;0.13536658754345898;0.154503116098014;0.167612302906638;0.153557886047794;0.18152233182252303;0.16189421955253;0.167066361644792;0.131783026990604;0.15061458755561802;0.163104060867604;0.201224272460123;0.23196107996636603;0.29395703072254403;0.26777194992884;0.26922950314782;0.246823207558473;0.23388227340540302
4;4;0.0908795481292723;0.0952828349862659;0.0966123739092298;0.112376069027593;0.13325846205942501;0.18480279709525196;0.193675909324779;0.189305086324417;0.14398857212714303;0.20212887954592101;0.302643479896622;0.39210939107601295;0.45999287014197;0.5385221762338761;0.635965579894977;0.514018317684381;0.5500244107903111;0.516336767184566;0.508535707979551;0.6482731518102729;0.6345407851707571;0.604714169801265;0.599648542820184;0.539567272388253;0.5813731759196011;0.5834954778779411;0.543987567427204;0.474906022874627;0.534961929911926;0.41409044330572903
5;5;0.10083524322366301;0.0822041088314802;0.21053297860978498;0.20273905260212802;0.213562173986202;0.20589081881470003;0.268937203624441;0.17209582227887002;0.28970197885540994;0.48019901865662107;0.6082241153342071;0.564505062620433;0.7211983104402091;0.7512027719894608;0.7207504766237339;0.6285694435388189;0.45134601621236203;0.469216256201706;0.6947309728147679;0.6830591334545861;0.6409663253525529;0.611132856307255;0.519353407935757;0.551348098706374;0.520982747768118;0.4719029615861;0.45161866397625794;0.5440852849597361;0.46350825452466704;0.43729519474134104
6;6;1.25819492789657;1.3741860465116298;1.43995596379167;1.1816811441597501;1.11174195966673;1.1660990427345501;1.3330554645866202;1.3637463001081598;1.51955127697956;1.5589675720986997;1.75323990542637;1.9894979233065502;2.51591439803203;2.30389741687392;1.8490066907107903;1.91063363704144;2.01358456245734;2.2758763913610496;2.53062504042839;2.8982085175824905;1.93505831031996;2.69302391440235;2.62485678513424;2.6832399189862;2.69429137362284;2.65801538201043;2.66535622064854;2.41406081518223;2.3315985305199702;2.7832430746143904
7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;8;0.609268337623328;0.662617676924086;0.727117017791141;0.8531158594616299;0.972381436239765;1.13867375843458;1.2519973318861;1.31608710719946;1.4577341588377801;1.76705098460871;1.7979383382931;1.99732508387387;2.11931279036218;2.4005081356855498;2.2808013052882203;2.19399272329779;2.58149645689523;2.64469155590878;2.75889251606537;2.8608746736912205;3.09180325289139;2.92449808431221;2.71072596974239;2.80602473260084;2.9700008224536605;3.0447869581905898;3.2710817809036294;3.18374072484285;3.27790435763756;3.2387956758098597
9;9;0.119036540896155;0.10913582206525699;0.16354181532753;0.17583313354111701;0.132815159834551;0.146821927863601;0.160452309365604;5.4000164930964605;6.8071021793889;101.05315529558901;65.01750869891521;76.34985205234571;70.865255855551;77.61913462147609;67.0161768889973;56.66747097821429;62.156536965102504;52.7449748214108;53.6379584391584;39.2890608230516;36.198562638608706;33.6102040667444;31.6545145327674;28.7698682167955;35.8546828751826;36.5447841219765;32.656999583790196;31.1002239283847;29.7269259797378;31.5748454518693
10;10;2.3833427376261898;2.4585509531269;2.53844723609966;2.33068461899148;2.5534415634371497;2.65646645767414;2.80689601610312;2.8710992816465004;2.98177718766029;3.2881609200729702;3.4645268009582995;3.66615896312069;3.65700859913686;3.7541547244774103;3.75336616225436;3.6701508460504297;3.7992619822795497;3.78041563238415;3.79288180377096;4.02980880305759;3.89788777329024;3.60081015539488;3.59179316919348;3.59556379664322;3.5821480153224097;3.3292250959780496;3.39465765033634;3.6858837898205;3.83571555712681;3.64223211441459
11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;13;0.6774181630089411;0.866666666666667;1.83845726870669;1.4874693568014699;1.5904477715515;2.5613213172285696;5.814611430097481;9.221391247550619;15.835612494602001;19.7910562837317;7.19870995886825;6.609876619945919;5.8320703526990405;5.18515609043347;6.798488305761549;11.2927989022036;6.46913540647603;7.491859978765159;7.92059705341887;6.57062374895073;2.31184429608315;1.72106685656023;4.7484622855293;1.36520500493695;2.37407743105011;4.03586631059319;4.03789228228131;4.456516455203929;4.63139998056932;4.61280178044414
